,Title,Topic,Title Length,Title Parsed,Title Parsed Length,Topic Codes
567,"Addition of Length, Cm, Inches, Metres, Kms | Maths For Class 2 | Maths Basics For CBSE Children",Operations of Whole Number,96,addition basics children length,31,2
568,Math Antics - Number Patterns,Number Patterns,29,pattern,7,3
569,Perimeter of Triangle Square and Rectangle | Mathematics Grade 5 | Periwinkle,Perimeter,77,triangle rectangle square perimeter,35,9
570,Reasoning about factors and multiples,Factors and Multiplication,37,multiples factor,16,4
571,Algebra as a Pattern,Algebra Expression,20,algebra pattern,15,5
572,"Perimeter and area: the basics | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,86,area geometry basics volume perimeter,37,9
573,Grade 6 maths sinhala lesson 9,Symmetry,30,sinhala,7,1
574,e and Composite Numbers | Mathematics Grade 4 | Periwinkle,Directed Numbers,58,composite,9,6
575,Dividing Mixed Numbers | Step by Step | Math with Mr. J,Operations of Whole Number,55,step mr divide j,16,2
576,Algebraic expressions full chapter | Mathematics | Class 7 | CBSE Syllabus,Algebra Expression,74,syllabus full expressions algebraic,35,5
577,Math Antics - Rounding,Operations of Whole Number,22,round,5,2
578,Number Patterns Grade 8,Number Patterns,23,pattern,7,3
579,Algebra Basics: What Is Algebra? - Math Antics,Sets,46,basics algebra,14,0
580,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway",Symmetry,63,symmetrical shape tutway,24,1
581,Class 5 || Maths || Shapes || Angles || Types of Angles and measurement,Angles,71,angle type shape measurement,28,8
582,Lesson 5. Algebraic Expressions |  Maths Session for Grade 09,Algebra Expression,61,algebraic expressions session,29,5
583,Introduction to Fractions | #aumsum #kids #science #education #children,Perimeter,71,kid education fraction children science aumsum,46,9
584,Lesson 4. Factors and Multiples (Part I) | Maths Session for Grade 07,Factors and Multiplication,69,multiples factor session,24,4
585,"a of a trapezoid | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,72,geometry perimeter volume area,30,9
586,Symmetry Song for Kids | A Day at Symmetry Land | Lines of Symmetry,Symmetry,67,kid line symmetry,17,1
587,Basic Figures Of Geometry | Maths For Kids | Periwinkle,Perimeter,55,figure kid geometry basic,25,9
588,Multiples vs. Factors | What are Multiples and Factors? | Math with Mr. J,Factors and Multiplication,73,multiples mr factor j,21,4
589,Measurement and Conversion of Capacity | Class 1 to 5,Symmetry,53,measurement,11,1
590,ABC Flashcards for Toddlers - Learning First Words - Teaching Alphabet for Kids,Number Patterns,79,word kid alphabet first teach,29,3
591,9 Incredible Science Facts You Probably Didn't Learn At School,Factors and Multiplication,62,probably facts incredible science didnt,39,4
592,"Range, variance and standard deviation as measures of dispersion | Khan Academy",Indices,79,measure,7,7
593,Intro to Symmetry: All About Symmetry for Kids - FreeSchool,Symmetry,59,freeschool kid intro symmetry,29,1
595,Math Antics - Intro To Exponents (aka Indices,Indices,45,indices intro exponents,23,7
596,Adding Integers | How to Add Positive and Negative Integers,Directed Numbers,59,positive negative add integers,30,6
597,Whole Numbers | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Operations of Whole Number,61,whole free icse tutorial,24,2
598,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,Sets,86,algebra builder roster set method letstute form,47,0
599,Number sets 1 | Fractions | Pre-Algebra | Khan Academy,Sets,54,prealgebra fraction set,23,0
600,What are Integers? | Number System | Don't Memorise,Directed Numbers,51,memorise dont integers system,29,6
601,Basic Division | #aumsum #kids #science #education #children,Sets,60,kid division education basic children science aumsum,52,0
602,Least common multiple exercise | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,83,factor common multiple multiples prealgebra exercise,52,4
603,"How to Subtract Negative Numbers | Subtracting Negative Numbers""",Directed Numbers,64,negative subtract,17,6
604,Conceptual understanding of multiplying fractions and whole numbers | Khan Academy,Operations of Whole Number,82,whole understand fraction multiply,34,2
605,ALGEBRAIC EXPRESSIONS & EQUATIONS | GRADE 6,Algebra Expression,43,algebraic expressions equations,31,5
607,Rational Numbers,Directed Numbers,16,rational,8,6
608,Indices - Introduction | Algebra | Maths | FuseSchool,Indices,53,fuseschool algebra indices,26,7
609,Angles: measuring angles and their names! | Educational Videos for Kids,Angles,71,angle kid name measure educational videos,41,8
610,Tens and Ones | Maths for Kids | Kindergarten Maths School Syllabus | Maths For Pre School,Perimeter,90,kid ones tens pre syllabus,26,9
611,Nutrition in Plants | Class 7 Science Sprint | Chapter 1 @Vedantu Young Wonder,Operations of Whole Number,78,science,7,2
612,Math Antics - Intro To Exponents (aka Indices),Indices,46,indices intro exponents,23,7
613,Visually dividing a fraction by a whole number,Operations of Whole Number,46,whole divide fraction,21,2
614,9 Incredible Science Facts You Probably Didn't Learn At School,Sets,62,probably facts incredible science didnt,39,0
615,Rotating polygons 180 degrees about their center | Transformations | Geometry | Khan Academy,Symmetry,92,geometry transformations degrees,32,1
616,How to Remember what you study? | How to Increase your Memory Power? | Study Tips | Letstute,Indices,92,power study remember letstute tip,33,7
617,Nouns: Singular & Plural | English Grammar & Composition Grade 2 | Periwinkle,Indices,77,english composition grammar,27,7
618,Directed Number,Directed Numbers,15,direct,6,6
619,Learning Factors | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,51,factor,6,4
620,Algebra Basics: What Is Algebra? - Math Antics,Algebra Expression,46,basics algebra,14,5
621,Symmetry | Class 6 Maths | Introduction to Symmetry | iWiz Kapil Gargi,Symmetry,70,symmetry,8,1
622,Reflection And Rotational Symmetry In Familiar 2D Shapes | Mathematics Grade 5 | Periwinkl,Symmetry,90,rotational shape periwinkl symmetry,35,1
623,Number sets | Fractions | Pre-Algebra | Khan Academy,Sets,52,prealgebra fraction set,23,0
624,"How To Find The LCM and HCF Quickly!"", ",Factors and Multiplication,39,lcm hcf find,12,4
625,Introduction - Symmetry - Chapter 13 - Class 6th Maths,Symmetry,54,symmetry,8,1
626,Angles: measuring angles and their names! | Educational Videos for Kids,Angles,71,angle kid name measure educational videos,41,8
627,"Basic Figures Of Geometry | Maths For Kids | Periwinkle"", ",Angles,58,figure kid geometry basic,25,8
629,Math Antics - Area,Angles,18,area,4,8
630,"Whole Number Operations | Adding, Subtracting, Multiplying, and Dividing",Operations of Whole Number,72,divide subtract whole operations multiply add,45,2
631,Lesson 11. Factors and Multiples | Maths Session for Grade 06,Factors and Multiplication,61,multiples factor session,24,4
632,Greatest common factor explained | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,85,common prealgebra multiples factor,34,4
633,26 FAST MATHS TRICKS YOU MUST KNOW,Indices,34,trick fast must know,20,7
634,Understanding Patterns | Mathematics Grade 1 | Periwinkle,Number Patterns,57,understand pattern,18,3
635,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,Number Patterns,77,abacus basics beginners,23,3
636,u2705 3 Simple and amazing Questions Only a Genius Can Answer-Intelligence Test (IQ) | part-1,Perimeter,93,question simple test genius,27,9
637,Indices - Introduction | Algebra | Maths | FuseSchool,Indices,53,fuseschool algebra indices,26,7
639,Grade 7 Science Unit 9 | Light | \u0d86\u0dbd\u0ddd\u0d9a\u0dba,Sets,63,science unit,12,0
640,Introduction to number systems and binary | Pre-Algebra | Khan Academy,Number Patterns,70,prealgebra,10,3
641,Line Of Symmetry | Mathematics Grade 4 | Periwinkle,Symmetry,51,line symmetry,13,1
642,Math Antics - The Pythagorean Theore,Perimeter,36,pythagorean,11,9
643,Rounding The Numbers | Mathematics Grade 5 | Periwinkle,Number Patterns,55,round,5,3
644,Prime and Composite Numbers | Mathematics Grade 4 | Periwinkle,Sets,62,composite prime,15,0
645,Proof - Sum of Measures of Angles in a Triangle are 180,Angles,55,triangle angle measure,22,8
646,Lesson 2. Sets | Maths Session for Grade 07,Sets,43,set session,11,0
647,Types of Angles & It's Measurements,Angles,35,angle type,10,8
648,9 Incredible Science Facts You Probably Didn't Learn At School,Factors and Multiplication,62,probably facts incredible science didnt,39,4
649,Angle measurement and circle arcs | Angles and intersecting lines | Geometry | Khan Academy,Angles,91,angle geometry line intersect measurement circle,48,8
650,Mineral Resources | New Sparkle Semester Series Social Studies Grade 4 | Jeevandeep,Indices,83,study series,12,7
651,Lesson 3. Operations on whole numbers | Maths Session for Grade 07,Operations of Whole Number,66,whole operations session,24,2
652,"06 - What is a Function in Math? (Learn Function Definition, Domain & Range in Algebra)",Sets,87,algebra definition function,27,0
653,Introduction to multiplying decimals | Decimals | Pre-Algebra | Khan Academy,Operations of Whole Number,76,multiply prealgebra decimals,28,2
654,Math Antics - Place Value,Sets,25,place value,11,0
655,Math Antics - Common Denominator ECD,Factors and Multiplication,36,common,6,4
656,Lesson 1. Bilateral Symmetry | Maths Session for Grade 07,Symmetry,57,session symmetry,16,1
657,Recognizing divisibility | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,77,multiples divisibility prealgebra factor,40,4
658,Math Antics - Area,Perimeter,18,area,4,9
659,ommon Number Patterns | Mathematics Grade 4 | Periwinkle,Number Patterns,56,pattern,7,3
660,Grade 7 Science Unit 8 | Earth,Sets,30,earth science unit,18,0
661,Maths Help - 35.  Addition & Subtraction of Directed Numbers,Directed Numbers,60,addition direct subtraction,27,6
662,Number Patterns Grade 8,Number Patterns,23,pattern,7,3
663,Math Antics - Factoring,Operations of Whole Number,23,factor,6,2
664,"Quiz on Symmetry | part 1|"",",Symmetry,28,symmetry,8,1
665,Grade 6 - Mathematics - Symmetry: Reflective / WorksheetCloud Video Lesson,Symmetry,74,video worksheetcloud symmetry,29,1
666,"Construction of angle of 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165 and 180 degree new",Angles,91,angle,5,8
667,Intro to Symmetry (Part 1) | What is Symmetry? | Lines of Symmetry,Symmetry,66,intro line symmetry,19,1
668,Adding and subtracting negative numbers | Pre-Algebra | Khan Academy,Directed Numbers,68,prealgebra add subtract negative,32,6
669,Degrees Of Comparison | English Grammar and Composition Grade 4 | Periwinkle,Number Patterns,76,english grammar composition degrees,35,3
670,Congruent triangles and SSS | Congruence | Geometry | Khan Academy,Symmetry,66,triangles geometry,18,1
671,Lesson 2. Perimeter | Maths Session for Grade 08,Perimeter,48,session perimeter,17,9
672,egers | Class 7 | Maths| CBSE | ICSE | FREE Tutori,Sets,50,free icse,9,0
673,NCERT Grade 8 || CBSE Class 8 - Algebraic Expressions and Identities Introduction in Tami,Algebra Expression,89,algebraic ncert expressions identities,38,5
674,Telling Time For Children - Learning the Clock,Angles,46,time children,13,8
675,"Showing angles have same measure | Angles and intersecting lines | Geometry | Khan Academy""",Angles,91,angle measure geometry intersect line,37,8
676,Algebra Basics: Graphing On The Coordinate Plane - Math Antics,Angles,62,basics algebra,14,8
677,C.M & H.C.F-1 | Maths tricks | Easy maths tips for kids,Angles,55,kid hcf easy trick tip,22,8
678,Negative numbers and number line examples | Pre-Algebra | Khan Academy,Directed Numbers,70,prealgebra line negative,24,6
679,"Addition of Length, Cm, Inches, Metres, Kms | Maths For Class 2 | Maths Basics For CBSE Children",Perimeter,96,addition basics children length,31,9
680,Find even and odd number through games / Mathematics,Directed Numbers,52,find,4,6
681,Lesson 11. Symmetry | Maths Session for Grade 08,Symmetry,48,session symmetry,16,1
682,Factorization: what is it and how is it done? | Class 8th Maths,Algebra Expression,63,factorization,13,5
683,Math Antics - Adding & Subtracting Integers,Indices,43,add integers subtract,21,7
684,9 Incredible Science Facts You Probably Didn't Learn At School,Factors and Multiplication,62,probably facts incredible science didnt,39,4
685,Rounding Decimals | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,52,decimals round,14,2
686,Lesson 3. Angles | Maths Session for Grade 08,Number Patterns,45,angle session,13,3
687,Square Root Tricks | #aumsum #kids #science #education #children,Perimeter,64,root kid education children square science trick aumsum,55,9
688,Patterns with Figures and Shapes | Maths For Class 2 | Maths Basics For CBSE Children,Number Patterns,85,children basics figure pattern shape,36,3
689,9 Incredible Science Facts You Probably Didn't Learn At School,Perimeter,62,probably facts incredible science didnt,39,9
690,Math Antics - Volume,Angles,20,volume,6,8
691,Maths Symmetry part 3 (Symmetry in Nature) CBSE Class 7  Mathematics VII,Symmetry,72,symmetry,8,1
692,Highest Common Factor (HCF) | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,common hcf factor,17,4
693,Lesson 24. Indices | Maths Session for Grade 06,Indices,47,indices session,15,7
694,Interactive module: finding factors | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,88,multiples prealgebra factor find,32,4
695,Adding and Subtracting Integers Using a Simple Method,Directed Numbers,53,subtract simple integers method add use,39,6
696,Learning Factors | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,51,factor,6,4
697,"Less Than, Greater Than | Maths For Class 2 | Maths Basics For CBSE Children",Indices,76,basics children,15,7
698,Algebra Basics: Solving 2-Step Equations - Math Antics,Directed Numbers,54,algebra solve basics step equations,35,6
699,Introduction to transformations | Transformations | Geometry | Khan Academy,Symmetry,75,geometry transformations,24,1
700,ing factors and multiples | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,78,multiples prealgebra factor,27,4
701,Introduction to multiplying decimals | Decimals | Pre-Algebra | Khan Academy,Operations of Whole Number,76,multiply prealgebra decimals,28,2
702,et\u2019s Learn & Draw Shapes | Learn Shapes For Kids | Shapes Song | Pre School Junior,Perimeter,87,shape kid pre,13,9
703,Adding Integers | How to Add Positive and Negative Integers,Directed Numbers,59,positive negative add integers,30,6
704,"SOLVING ALGEBRAIC EQUATIONS | GRADE 6"",",Algebra Expression,39,solve equations algebraic,25,5
705,Part-1 : Rational Numbers | Mathematics | Class 8 | CBSE Syllabus,Algebra Expression,65,syllabus rational,17,5
706,Area and Perimeter,Perimeter,18,perimeter area,14,9
707,Class 6 Maths - What are Whole Numbers? With Examples,Operations of Whole Number,53,whole,5,2
708,"Negative exponents | Exponents, radicals, and scientific notation | Pre-Algebra | Khan Academ",Directed Numbers,93,negative exponents notation prealgebra scientific,49,6
710,Number Patterns - Grade 8 - 1st lesson - English Medium - Sri Lankan National Curriculum,Number Patterns,88,english lankan curriculum national sri st pattern medium,56,3
711,Grade 8 Math - Lesson 8.5: Solving Equations,Algebra Expression,44,solve equations,15,5
712,Algebra Trick to save you time (Algebra Tricks,Algebra Expression,46,time algebra trick,18,5
713,"Grade 08 - Mathematics (English Medium) - Number patterns (Lesson - 01)"",",Number Patterns,73,english pattern medium,22,3
714,Thinking about shapes of distributions | Data and statistics | 6th grade | Khan Academy,Sets,87,statistics shape data,21,0
715,Reading 2 Letter Words | 3 Letter Words | 4 Letter Words | 5 Letter Words | Learn English,Number Patterns,89,english word,12,3
716,Introduction - Algebraic Expressions and Identities - Chapter 9 - NCERT Class 8th Maths,Algebra Expression,87,algebraic ncert expressions identities,38,5
717,Perimeter | Maths for Kids | Grade 4 | Periwinkle,Perimeter,49,kid perimeter,13,9
718,Lesson 6. Solids | Maths Session for Grade 08,Algebra Expression,45,session,7,5
719,Multiply a Whole Number by a Decimal | Math with Mr. J,Operations of Whole Number,54,whole decimal mr multiply j,27,2
720,Multiples and factors | Samacheer 5th std Maths,Factors and Multiplication,47,multiples factor std,20,4
721,What is a Linear Equation in One Variable? | Don't Memorise,Algebra Expression,59,memorise linear one variable dont,33,5
722,Finding the rule for the pattern,Number Patterns,32,rule pattern find,17,3
723,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,Operations of Whole Number,56,divisibility rule,17,2
724,Lesson 2. Perimeter | Maths Session for Grade 08,Perimeter,48,session perimeter,17,9
725,International Number System | Mathematics Grade 4 | Periwinkle,Sets,62,system,6,0
726,Lesson 11. Factors and Multiples | Maths Session for Grade 06,Factors and Multiplication,61,multiples factor session,24,4
727,3 Simple and amazing Questions Only a Genius Can Answer-Intelligence Test (IQ) | part-1,Indices,87,question simple test genius,27,7
728,Algebra: Linear equations 1 | Linear equations | Algebra I | Khan Academy,Directed Numbers,73,linear algebra equations,24,6
729,"Division Story Problems | Mathematics Grade 3 | Periwinkle"",",Operations of Whole Number,60,problems division,17,2
730,Math Antics - Order Of Operations,Sets,33,order operations,16,0
731,Number Patterns,Number Patterns,15,pattern,7,3
732,Finding factors and multiples | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,82,multiples prealgebra factor find,32,4
733,"Measure Length | Mathematics Grade 1 | Periwinkle""",Perimeter,50,length measure,14,9
734,Order of Operations Song | PEMDAS Rap for 5th Grade,Operations of Whole Number,51,order operations,16,2
735,"Pythagoras Theorem, Fractions, Ratio, Proportion and much more!! | #aumsum #kids #science",Indices,89,proportion kid fraction theorem science aumsum,46,7
736,Math Antics - Order Of Operations,Operations of Whole Number,33,order operations,16,2
737,Lesson 7. Parallel Straight Lines | Maths Session for Grade 07,Symmetry,62,parallel line session,21,1
738,Class 6 | Maths | Symmetry | Mirror Symmetry,Symmetry,44,symmetry,8,1
739,Symmetry full chapter | Mathematics | Class 6 | CBSE Syllabus,Symmetry,61,syllabus full symmetry,22,1
740,"Algebraic Expressions | Class 7 | Maths| CBSE | ICSE | FREE Tutorial"",",Algebra Expression,70,icse tutorial algebraic free expressions,40,5
741,Math Antics - Triangles,Perimeter,23,triangles,9,9
742,Math Antics - Adding & Subtracting Integers,Directed Numbers,43,add integers subtract,21,6
743,Factors for the First Time,Factors and Multiplication,26,time factor first,17,4
744,"Four operations Part - 4 | Add, Sub, Multiple & Division | 5th std Maths Syllabus | Mathematics",Factors and Multiplication,95,division operations multiple std syllabus add,45,4
745,Area | Mathematics Grade 5 | Periwinkle,Perimeter,39,area,4,9
746,Lesson 4. Directed Numbers | Maths Session for Grade 08,Algebra Expression,55,direct session,14,5
747,Gravity Compilation: Crash Course Kids,Sets,38,kid course,10,0
748,Comparing areas and perimeters of rectangles | Measurement | Pre-Algebra | Khan Academy,Perimeter,87,prealgebra measurement,22,9
749,How to Remember what you study? | How to Increase your Memory Power? | Study Tips | Letstute,Indices,92,power study remember letstute tip,33,7
750,Perimeter | Maths for Kids | Grade 4 | Periwinkle,Perimeter,49,kid perimeter,13,9
751,Introduction to rational and irrational numbers | Algebra I | Khan Academy,Sets,74,algebra irrational rational,27,0
752,Function symmetry introduction | Transformations of functions | Algebra 2 | Khan Academy,Symmetry,88,algebra transformations function symmetry,41,1
753,Learn to Find Area and Perimeter of Square and Rectangle | Math | Grade-5 | Tutway,Perimeter,82,find square area rectangle tutway perimeter,43,9
754,Reflection and Symmetry | Part 1/3 | English | Class 6,Symmetry,54,english symmetry,16,1
755,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,Sets,86,algebra builder roster set method letstute form,47,0
756,Grade 6 - Mathematics - Symmetry: Reflective / WorksheetCloud Video Lesson,Symmetry,74,video worksheetcloud symmetry,29,1
757,"Class 5 Maths | NCERT | Chapter 6 | Page 94 | Be My Multiple, I'll be Your Factor",Factors and Multiplication,81,factor ncert multiple,21,4
758,Math Antics - Negative Numbers,Directed Numbers,30,negative,8,6
759,Kids vocabulary compilation - Words Theme collection\uff5cEnglish educational video for kids,Indices,92,video word kid educational,26,7
760,"Intersection of Sets, Union of Sets and Venn Diagrams",Sets,53,venn union set diagram intersection,35,0
761,"Sigma notation for sums | Sequences, series and induction | Precalculus | Khan Academy",Number Patterns,86,sequence series notation,24,3
762,Simple Math Tricks You Weren\u2019t Taught at School,Factors and Multiplication,52,simple \ut trick teach,22,4
763,Microsoft Excel Tutorial for Beginners | Excel Training | Excel Formulas and Functions | Edureka,Operations of Whole Number,96,tutorial function beginners,27,2
764,Opposite of a number | Negative numbers | 6th grade | Khan Academy,Directed Numbers,66,negative,8,6
765,Grade 7 Math: Introduction to Sets,Sets,34,set,3,0
766,ABC Flashcards for Toddlers - Learning First Words - Teaching Alphabet for Kids,Indices,79,word kid alphabet first teach,29,7
767,Class 4 | CBSE | NCERT | Maths | 2 | Long And Short | T3 | Race | Hindi Video,Angles,77,video ncert,11,8
768,Angles Formed by a Transversal with Two Parallel Lines | Don't Memorise,Angles,71,memorise angle parallel two dont line form,42,8
769,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway |",Symmetry,65,symmetrical shape tutway,24,1
770,Line of reflection example,Symmetry,26,line example,12,1
771,"Negative Numbers Subtracting (Easy Method)"", ",Directed Numbers,45,negative subtract easy method,29,6
772,"Pre School Learning For Kids | Animals, Birds, Animal Sounds, Fruits, Flowers, Vegetables",Symmetry,89,kid pre sound,13,1
773,Multiplying fractions and whole numbers: two approaches | Fractions | 5th grade | Khan Academy,Operations of Whole Number,94,whole multiply fraction two,27,2
774,Nursery Rhymes For Kids | Top 20 Action Songs For Children | Nursery Rhymes With Actions,Factors and Multiplication,88,kid children,12,4
775,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,Number Patterns,85,sound classroom teach phonics alphabets,39,3
776,Finding LCM using prime factorisation,Factors and Multiplication,37,factorisation prime find lcm use,32,4
777,at are Multiples of a Number? How are Factors and Multiples related? | Don't Memorise,Factors and Multiplication,85,memorise factor multiples dont,30,4
778,Understanding how positive and negative numbers interact,Directed Numbers,56,positive understand negative,28,6
779,Introduction To Negative Numbers |  Maths Concept For Kids | Maths Grade 5 | Periwinkle,Sets,87,kid negative concept,20,0
780,Least Common Multiple (LCM) | Mathematics Grade 4 | Periwinkle,Factors and Multiplication,62,lcm multiple common,19,4
781,Symmetry - (CBSE Grade: 06 Maths,Symmetry,32,symmetry,8,1
782,"What are Indices & How to Trade Them?"", ",Indices,40,indices,7,7
783,A Cool Grammar Test That 95% of People Fail,Angles,43,test people grammar,19,8
785,Introduction to Algebra | Algebra for Beginners | Math | LetsTute,Algebra Expression,65,letstute algebra beginners,26,5
786,Lesson 6. Factors of the Algebraic Expressions | Maths Session for Grade 9,Algebra Expression,74,algebraic factor expressions session,36,5
787,Math Antics - Scientific Notation,Directed Numbers,33,scientific notation,19,6
788,What are Angles? | Types of Angles| Measure and Draw Angles using a Protractor |Class 1 to 5,Angles,92,angle type use measure,22,8
789,Perimeter | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Perimeter,57,free icse tutorial perimeter,28,9
790,Nouns - Concrete and Abstract | English Grammar & Composition Grade 4 | Periwinkle,Directed Numbers,82,english composition grammar,27,6
791,Factors and Multiples | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,56,multiples factor,16,4
793,Math Antics - Dividing Fractions,Operations of Whole Number,32,divide fraction,15,2
794,O/L Maths Lessons in Sinhala - Perimeter | Grade 8 Lesson 2 Mathematics in Sinhala | guruthuma,Perimeter,94,lessons sinhala perimeter,25,9
795,Indices - Grade 6 - 24th lesson - English Medium - Sri Lankan National Curriculum,Indices,81,english lankan curriculum indices national sri medium,53,7
796,Multiples and Factors | Class 5 | Maths | CBSE | ICSE | FREE Tutorial,Factors and Multiplication,69,factor icse multiples tutorial free,35,4
797,Algebraic Identities Class 8 & Class 9,Algebra Expression,38,algebraic identities,20,5
798,Laws of Indices - Part 1 | Algebra | Maths | FuseSchool,Indices,55,fuseschool algebra indices laws,31,7
799,Maths Symmetry part 11 (What is Rotational Symmetry) CBSE Class 7  Mathematics VI,Symmetry,81,vi rotational symmetry,22,1
800,Angles Formed by a Transversal with Two Parallel Lines | Don't Memorise,Angles,71,memorise angle parallel two dont line form,42,8
801,Direct And Indirect Objects | English Grammar & Composition Grade 5 | Periwinkle,Number Patterns,80,english direct composition grammar,34,3
802,Operations of negative numbers without using number lines,Directed Numbers,57,negative line use operations,28,6
803,Triangle And Square Number Sequence | Mathematics Grade 5 | Periwinkle,Number Patterns,70,sequence triangle square,24,3
804,Sum of interior angles of a polygon | Angles and intersecting lines | Geometry | Khan Academy,Angles,93,geometry intersect angle line,29,8
805,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,Symmetry,77,abacus basics beginners,23,1
806,Angles: measuring angles and their names! | Educational Videos for Kids,Angles,71,angle kid name measure educational videos,41,8
807,Introduction To Exponents | Exponents and Powers | Algebra | Math | Letstute,Indices,76,letstute power algebra exponents,32,7
808,DEFINED TERMS IN GEOMETRY (Mathematical System) Grade 8 Lesson 2 Third Quarter | ENGLISH Part 1,Angles,95,english mathematical term geometry system,41,8
809,"Statistics intro: Mean, median, and mode | Data and statistics | 6th grade | Khan Academy",Indices,89,intro statistics data,21,7
810,Subtraction With Borrowing | Subtract | Maths For Class 2 | Maths Basics For CBSE Children,Number Patterns,90,basics children subtract subtraction,36,3
811,Basic Figures Of Geometry | Maths For Kids | Periwinkle,Symmetry,55,figure kid geometry basic,25,1
812,Algebraic expressions and identities full chapter | 8th class maths | CBSE Syllabus Mathematics,Algebra Expression,95,syllabus full algebraic expressions identities,46,5
813,"Lesson 14. Types of Numbers and Number Patterns | Maths Session for Grade 06"",",Indices,78,type pattern session,20,7
814,Angle basics | Angles and intersecting lines | Geometry | Khan Academy,Angles,70,angle geometry basics intersect line,36,8
815,"Introduction to ratios | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",Perimeter,91,rat proportion prealgebra ratios,32,9
816,Algebraic Expressions,Algebra Expression,21,algebraic expressions,21,5
817,Lesson 5. Algebraic Expressions |  Maths Session for Grade 09,Algebra Expression,61,algebraic expressions session,29,5
818,Algebra Basics: What Is Algebra? - Math Antics,Operations of Whole Number,46,basics algebra,14,2
819,What is Algebra? | Don't Memoris,Algebra Expression,32,algebra dont,12,5
820,Number Patterns Grade 8,Number Patterns,23,pattern,7,3
821,Introduction - Mensuration - Chapter 11 - NCERT Class 8th Maths,Perimeter,63,ncert,5,9
822,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,Operations of Whole Number,56,divisibility rule,17,2
823,Rules Of Divisibility | Mathematics Grade 4 | Periwinkle,Indices,56,divisibility rule,17,7
824,Intro to Symmetry: All About Symmetry for Kids - FreeSchool,Symmetry,59,freeschool kid intro symmetry,29,1
825,"Math Antics - Circles, Circumference And Area",Perimeter,45,circle area,11,9
826,Math Antics - Order Of Operations,Indices,33,order operations,16,7
827,Lesson 5. Indices | Maths Session for Grade 07,Indices,46,indices session,15,7
828,Number Patterns - Grade 8 - 1st lesson - English Medium - Sri Lankan National Curriculum,Number Patterns,88,english lankan curriculum national sri st pattern medium,56,3
829,Perimeter for Kids | Math Lesson Video,Perimeter,38,video kid perimeter,19,9
830,LCM and GCF word problems | Factors and multiples | Pre-Algebra | Khan Academy,Factors and Multiplication,78,word factor problems lcm multiples prealgebra,45,4
831,Perimeter | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Perimeter,57,free icse tutorial perimeter,28,9
832,Collective Nouns | English Grammar & Composition Grade 3 | Periwinkle,Sets,69,english composition grammar,27,0
833,Introduction to perimeter | Measurement | Pre-Algebra | Khan Academy,Perimeter,68,prealgebra measurement perimeter,32,9
834,"Triangle inequality theorem | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,83,theorem triangle area geometry volume perimeter,47,9
835,"Pythagoras Theorem, Fractions, Ratio, Proportion and much more!! | #aumsum #kids #science",Operations of Whole Number,89,proportion kid fraction theorem science aumsum,46,2
836,Math Antics - Exponents and Square Roots,Directed Numbers,40,root exponents square,21,6
837,Mathematics  Indices  Maths Paradise YouTube Video Channel,Indices,58,channel video indices,21,7
838,Ways to represent data | Data and statistics | 6th grade | Khan Academy,Sets,71,statistics data,15,0
839,Whole Numbers | Ap&TS syllabus Class 6 Maths | Full lesson,Indices,58,whole full apts syllabus,24,7
840,Std 7 Maths I  Chapter 6 I Indices I Practice Set 30 I Finding the square root,Indices,78,practice indices find set std square root,41,7
841,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,Algebra Expression,60,algebraic expressions session,29,5
842,"meter of a parallelogram | Perimeter, area, and volume | Geometry | Khan Academy",Perimeter,80,geometry perimeter volume area,30,9
