,to list the factors of 10 for example you have to find all the numbers that fit exactly into 10 we're gonna practice that you might be asked is five a factor of 14 so asking if five fits exactly into 14 nope you might be asked how many factors does 24 have so then you have to work out how many they were and count them so if I was asked how many factors does six have then the answer would be four because four separate numbers fit exactly into six so that's multiples and factors and when I think of factors I think of F as find what fits into it some multiples make up factors fit in multiples M make up factors fit in if that's how I remember it if you remember it that way that's great if you remembered some other way as long as you remember that's really what's important we can find factors in different ways and I'm 
,going to show you three different ways I really don't mind which when you choose to use in the end it's really about whether you can find all the factors that you're looking for so I'm going to start off by looking to see what the factors of let's start with twelve right so I could do this the first way I'm going to show you is 
,just using your head so you could say work out well first off one fits in to every single number so we know that one is going to be a factor of any number so one fits in does to fit in lemme check two four six eight ten twelve yes two-thirds it does three fit in three six nine twelve yes three fits in does for fit him four eight twelve yes forfeit sin does 555 ten fifteen no does six finem six twelve years the 713 714 no does eight eight sixteen no does nine nine eighteen 10 no 11 no 12 yes twelve fourteen once and there we go that's a list of all the factors of 12 just as there are so you can do it that way that's one potential way to write it to do it yeah I'll come back to that note that I was going to share with you now all right another way to do it is what I think of as a factor rainbow I'm going to do the same problem I'm looking for factors of 12 and I'm going to use a the rainbow method it's not my favorite method and I'll explain why afterwards but here we go I'm gonna start off with one because one fits into all things and then what I'm gonna do is I'm gonna say to myself what will at times by one to get 12 one times 12 so I've got two of my factors written down next up I'm gonna ask what's the next small number that fits in well to fitted in and two times what would give me 12 two times 
,six so here's my next pair three fitted in three times what gave me 12 three times four gave me 12 and that is actually all of them so then afterwards I would write 
,it underneath 12 as one to you and there we go you've got the same answer there as you do there this is nice because factors are in pairs they always come in pairs and so it's it's quite nice it waters around but the drawback of over rainbow is and it won't look like this with mine because I've used different colors but sometimes if you're using the same color or a pencil it all kinds of blank kind of blends together and you can't always tell if this is one twenty six or one and two and six or 64 so it gets a little bit messy and so this isn't my favorite method my favorite method which I'm going to do with the same one I will factor trees and in fact 
,the trees I have branches and those branches come in pairs so again using the idea of the factors are always in pairs like the rainbow I always start by doing this branch 1 and itself so we know that one fits into anything and anything times by 1 is itself so we know that the first pair will always be 1 and whatever number is in the trunk of the tree next up I'm going to draw my next branch and to see what fits in next well 2 + 2 times what gives me 12 2 times 6 three feds in three times what gives me 12 three times for the next number that would fit in would be six and it would be six times two but we already have six times two so we've gone we've gone all the way we don't need to do any more we just need to list them underneath 12 1 2 3 4 6 and 12 all right and when we writing that down we go we're looking at the first branch bleach the 1 2 3 4 6 12 1 2 3 4 6 12 so there's our factor tree and this is the one I like the best it's a very easy way of doing it and for me it makes it the easiest not to miss any of the factors so in fact the trees that come in pairs we see how many branches each one has so as I said I don't mind which method you use to work it out I'm going to use the factor trees because those are my favorite the one I've seen children have the most success with I hope you have a pencil and paper or pen and paper with you I'm going to give you a few now for us to work us so let's start off with this one so I will put down a few you guys get going 
,with them and then after little while I'll come back to them and I'll go through them with you now I'm going to go through the first three even if you haven't done them if you'd like more time to try it on your own that's okay but this is a new process for some of you so let's do this right I know that one fits into everything and one times itself does anything else but into two while we've covered it so the answer to the factors of 2 is 1 & 2 or 1 n 2 C my internet is being a little bit slower it's taking a little while to update from my iPad there we go all right let's look at the second tree I always started with 1 1 times what gives me 3 1 times 3 
,does anything else fit into 3 to 4 nope and so that is the answer to 3 3 has 1 and 3 I did say that there was something that only had 2 factors and some that had many let's have a look at 8 mm well the first number that we always start with is 1 and they come in pairs 1 times itself 1 times 8 is 8 let's see does 2 go into 8 2 4 
,6 8 yes it does so we've got 2 & 2 times what gives me a 2 2 times 4 gives me 8 does 3 fit in 3 6 9 no those 4 oh we've got four so that nice all of them so it has the factors 1 2 4 & 8 let's move our screen over and it's try number nine if you'd like to try some on your own just pause the video so I'm gonna start again as I always do with one and myself 1n itself 1 times 9 is 9 does to fit in 2 4 6 nope ohh 2 4 6 8 10 no does 3 3 6 9 years 3 fits in how many times does 3 fit in 3 times 3 4 8 12 no 510 no ok and that's all so I answered to the factors is 1 3 we don't blister 3 a second time because we've listed it already so it's 1 3 & 9 it's like yeah putting the same thing twice it's still not going to make more factors it's the same factor so it's just a repeat so we only put the that done once so I look at Tim always start with one and myself so those are the factors there's to fit in 2 4 6 8 10 years it does 2 times 5 does 3 fit in nope just for fit in no 5 5 years but we've got 5 already so factors of 10 1 2 5 and Tim gonna do one more and then have a quick look back at what we've done so far we start with 1 and myself 1 and the number in tree trunk does 2 2 4 6 no does 3 3 6 note does 4 4 8 notice 5 yes we've got 5 that's all this is another one of the ones that only has two factors right if 
,we look at the ones we've done so far you will notice that every single one that we've covered so far whether it's got two factors or more factors always has one and itself 1 and itself 1 and itself all right so every single number has at least two factors and those factors are 1 and itself got some more for you to try we're moving on to slightly bigger numbers and remember yesterday in the previous lesson when we did when we looked at the divisibility rules this is where the divisibility rules will come in handy because you can always check to see what's going to go into the number so look we've done 12 quite a bit so let's do 16 here are a couple for you to get going with I'll give you a little while to get started and if you need longer you can pause it right great furs I do want to still come back or do want to get unto prime and composite numbers which shouldn't take too long but because of that I'm not going to leave it any longer we're just doing ten of these if you'd 
,like more time and I think it'd be great if you pause the video and did them yourself so you could check that you're on the right track before we get to the homework it's always useful to first do it or first try it before you have a look at how somebody else does it it's useful to watch somebody else to that's how we learn as well but trying is super important remember trying and failing is not a problem as long as you learn from your mistakes having a look at 16 I'm going to start with first one and my 1 and itself that's in everything then I'm going to try let's see 2 4 6 8 10 12 14 16 to goes in two guys hidden eight times three doesn't go in for does go in this is what times tables are so important because you can see what goes in so four goes in four times four and that's going to be as many as you get there won't be any other ones that fit into there so my factors written out neatly underneath factors of 16 are 1 2 4 8 and 16 factors of 24 west one and it serves so when in 24 to 12 24 Sivan so 2 goes in 2 times 12 you can count there 2 4 6 8 10 12 14 16 18 20 22 24 12 times 3 3 6 9 12 15 18 21 24 yeah 3 goes in 3 goes in 8 times that is an 8 even if it's a bit messy for goes in 4 8 12 16 20 24 years for goes in six times it goes in three times but we already have that one and so now we've covered all of them so writing it up neatly underneath 24 has the factors 1 2 3 4 6 8 12 and 24 so I did say that some have only a few factors and some have many we're 
,heading into some of the ones that have quite a lot more now so below get 36 always start with 1 and myself 1 and 36 36 is even said 2 goes in who a my goodness that's a lot of two's 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 my goodness how many is that that was 18 3 3 6 9 12 yes it does I'm not gonna go all the way but 
,it does it's what the advantages of knowing your times tables 3 times 12 4 goes in and this one I am going to shut down something underneath well I know that 4 goes 
,into 40 10 times so if I'm going backwards 1 to 36 then it would be 9 times so 4 times 9 it's a little trick for working out if it's close to the 10 times of something 5 doesn't go in 6 does go in see I know that 5 doesn't go in because that ends on a 6 and 5 so only going to numbers that end on 5 or 0 so that's one of the tricks that I'm using remember that a bit of literals from yesterday huh teachers teach things in a logical way that makes sense because we use things to do other things 
,so six goes in here six times and that is the end of it so writing the mark neatly and you can see when I do this I'm going across the branches on the one side and then I'm coming back on the other side so it's one two three four six and when you're gonna write down one of them because otherwise it's repeating 9 12 18 and 36 that is a lot of factors one more to go let's pick purple for this one right one in itself ends on a Knights of two definitely goes in two goes into well 2 goes into there 4 times 2 goes into the air so it's 24 3 well let's see if we add those together we get 12 so that means 3 does go in so 3 goes in how many times she goes in 16 
,times you can count then I will do division in a future lesson which will help you with this as well does 4 go in yes four guys in four girls in there 12 times kids 
,4 8 12 16 20 24 28 32 36 40 44 48 12 times does 5 go in no because it ends on a ace does 6 go in well if you add those together it's 12 and 12 and it ends on an even number divisibility rule for 6 if you don't remember the divisibility rules I think it's best to go back and do in the many few missed the last test and I really think it's important one though doesn't always seem that way it's very very useful it's like a little tool in your tool chest that helps you go quicker so 6 goes into 
,the 8 times 7 doesn't it does but we've got it and so that's it so 48 has the most factors we've seen yet 1 2 3 4 6 8 12 16 24 and 48 we have just time to look at prime numbers and composites prime numbers so remember we pointed out that a couple of them only had what went one pair of factors or two factors those are prime numbers so if there are only two numbers that fit in exactly it's gonna be one in itself and I have a little rhyme and this is probably the closest you're gonna get me to singing on on a platform like this or yeah I definitely wasn't done idols because I know I can sing but if my factors are one and myself then I sit on the prime number shelf that's a little rhyme that I you I used to remember which are prime numbers so when I say sit on the prime number shelf I mean that I'm a prime number so if my factors are one of myself then I sit on the prime number shelf let's look at our whiteboard again and look to see which of those numbers is prime well if we look at the first one the only things that fit in or one in itself so two is a prime number I'm just gonna put a P next to it P if I look the next one the only things that fit in there or one and itself so three is a prime number if I look at this one it has one end self and some other things so this is not prime for head or nine here's one three and nine it's got more than just itself and when so that's not prime 10 knot prime so 5 only has 1 and 5 so 5 is also a prime number the other ones we've done lots of factors and so those are not so if my if my factors are one and myself then I said on the prime number shelf out of interest 2 is the only even prime number every other prime number is an odd number and the reason for that is that two fits into all the other prime numbers so whatever the other prime number is it will have one and itself and at least two and two's partner so anything that's even above two will definitely not be a prime so once you see it's even and bigger than two you don't even have to check further than that you know it's not prime and there's one more way to look at composite numbers and this is going to be really hard to remember a composite number is anything that's not prime so all the ones that weren't prime on our whiteboard are composite numbers so it's have a look this one is a composite number a composite number composite composite composite composite and composite so this just its prime and composite is a way of dividing numbers if your factors are went in yourself then it's just prime and if it's composite or if it has more than just the two factors then it's composite that's where we're gonna end today we know what prime numbers are we know what composite numbers are we've explored what multiples are we've explored what factors are you needed to know what factors were in order to be able to understand prime numbers after the lesson click on the link above and the worksheet to check that you've got this well also if you have any questions email me grad 5 at worksheet cloud.com and I've been wearing the whole listen to do this my name is Optimus Prime Autobots move out have a great weekend great fans
,
5xe-6GPR_qQ,Which of the following
,numbers is a factor of 154? So when a number is going
,to be a factor of 154 is if we can divide
,that number into 154 and not have a remainder. Or another way of thinking
,about it-- a number is a factor of 154 if 154 is
,a multiple of that number. So let's look at each of these
,and see which of these we can rule out or say is a factor. So does 3 divide
,"evenly into 154? Or, another way of"
,"thinking about it, is 154 a multiple of 3? Well you'll later learn"
,that you could actually test whether something
,is divisible by 3 by adding up the digits. And if that's divisible
,"by 3, then it's going to be divisible by 3. And so you see"
,"here, 1 plus 5 is 6. 6 plus 4 is 10. 10 is not divisible by 3. But if you didn't want"
,to do that little trick-- and we have other
,videos where we go into more detail
,about that trick-- you can actually just
,divide 3 into 154. 3 doesn't go into 1. It does go into 15 five times. 5 times 3 is 15. Subtract. Then we have 0. Then you bring down a 4. 3 goes into 4 one time. 1 
,"times 3 is 3. Subtract, and you"
,have a remainder of 1. So 3 is clearly not a factor of
,"154, so we can rule that out. Now what about 5? Well, any multiple"
,of 5 is either going to have 5 or
,0 in the ones place. You see that if we write 5
,"times 1 is 5, 5 times 2 is 10, 5 times 3 is 15, 5 times 4 is"
,"20, you either have a 5 or a 0 in the ones place. This does not have 5"
,"or a 0 the ones place, so it's not going to"
,be divisible by 5. 5 is not a factor. 154 is not a multiple of 5. Now 6 is interesting. You could do the same thing. You could try to
,divide 6 into 154. But if something
,"is divisible by 6, it's definitely going to"
,be divisible by 3 as well because 6 is divisible by 3. So we can immediately
,rule this one out as well. Because 154 is not
,"divisible by 3, it's also not going"
,to be divisible by 6. And you could try
,it out if you like. And we could make the
,"same argument for 9. If something is divisible by 9,"
,"it's going to be divisible by 3 because 9 is divisible by 3. Well, it's not"
,"divisible by 3, so we're going to rule out 9 as well. So we've ruled out everything. It looks like 14"
,"is our only option, but let's actually verify it. Let's actually"
,divide 14 into 154. 14 doesn't go into 1. It goes into 15
,"exactly one time. 1 times 14 is 14. We subtract. We get 1. Bring down the 4. 14 goes into 14 one time. 1 times 14 is 14. And of course, we"
,have no remainder. So 14 goes into 154
,exactly 11 times. Or 11 times 14 is 154. 154 is a multiple of 14. Let's do one more. Which of the following
,"numbers is a multiple of 14? So now we have 14,"
,and we're trying to think of its multiples. So there's two
,ways of doing this. You could go number by number
,"and try to divide 14 into them, or we could just"
,try to figure out what all of the multiples
,of 14 actually are. So let's try to do that. Let's try to do that
,"second technique. 14 times 1 is 14. You add another 14. 14 times 2 is 28. Add another 14. Let's see, you add 10. You get to 38. Then you add 4 more. You get to 42. Then you add another 14. I haven't seen any of"
,these numbers show up yet. Add another 14 to this. You get to 56-- still
,"not quite there. Add another 14. Let's see, if you"
,"add 4, you get to 60, and you have to add the 10. So then you get to 70. And it looks like we have"
,"found one of these numbers. 70 is a multiple of 14. 14 times 1, 2, 3, 4,"
,5-- 14 times 5 is 70.
,
rUrLuTMq-sw,what are the multiples of a number say we have a number seven what are its multiples how many multiples does it have seven x one is seven this seven is one of the multiples of seven seven x two is 14 14 is another multiple of seven the word says it all a multiple if a number is multiplied with seven we get sevens multiple and seven x 3 is 21 and the list would continue forever the multiples of seven are 7 14 21 28 and so on this proves that the list of multiples of a number is infinite for 
,us the number of factors of a number is always finite concept of multiples gives us a very important result let us find the multiples of 2 2 times 1 is 2 2 times 2 is 4 2 times 3 is 6 and the multiples of 2 continue what's special about the multiples of 2 all the multiples of 2 are called even numbers yes all the multiples of 2 
,are even and what about the numbers which are not multiples of 2 the numbers which are not multiples of 2 are called odd numbers so the numbers 1 3 7 9 and so on are odd numbers this concept of even and odd numbers is very important no matter which grade you are in multiples of 2 even non multiples of 2 odd and now we come to a 
,very interesting question how our factors and multiples related let's understand the relation with the help of a random number sit 12 to find the factors of 12 we try writing it as all possible products of two numbers 12 can be written as 1 multiplied by 12 it can be written as 2 multiplied by 6 and 3 x 4 these are the only possible combinations each of these numbers are factors of 12 the factors of 12 are 1 2 3 4 6 and 12 now observe the number 12 in relation with these numbers 1 multiplied by 12 gives us 12 so 12 is a multiple of 1 2 multiplied by 6 gives us 12 so 12 is also multiple of 2 3 times 4 gives us 12 and so on what does this imply the number 12 is a multiple of all its factors yes this is always true a number is always a multiple of all its factors you
,
qKV_TiZqaMY,today let us learn about multiples at Anya's home with her mother hello kids let us understand what a multiple of a number is with an example consider 3 into 4 is equal to 12 we know that 3 & 4 are the factors of 12 so here 12 is a multiple of 3 and 12 is also a multiple of 4 therefore we define a multiple as a multiple of a number is the product obtained when the given number is multiplied by the same or any other number let us see now how to find multiples of a given number let us find the multiples of 5 from the definition we can multiply the given number five with any number and get its multiple so let us multiply it with a few random numbers to list a few of its multiples 5 x 0 1 2 5 8 12 24 38 46:59 100 and so on gives 0 5 10 25 40 60 120 190 230 295 500 and so on thus we get a series of multiples by multiplying the given number by our the numbers therefore we get the multiples of 5 as 0 5 10 25 40 60 120 190 230 295 500 and so on let us look at one more example it is easy when we multiply 12 by 0 1 2 3 4 5 6 7 8 9 10 and so on we get 0 12 24 36 48 60 70 to 80 for 96 108 120 and so on as the products so here the products obtained are nothing else but the multiples of 12 I am sure you must have understood how to find the multiples of a given number remember the following points while finding the multiples of a number one we get a series of multiples by multiplying the given number by other numbers to the given number and other number are the factors of the product we call a multiple three zero is a multiple of every number but zero is not a factor of any number except zero for the multiples of any number is a set of numbers that does not end kids wasn't it easy to find the multiples so go home and try listing them yourself
,
0IZyGB1qQmM,today let us revise factors and multiples let us start with factors what do we mean by a factor a factor of a number divides that number exactly let us look at an example find the factors of 58 the first pair is 1 into 50 8 is equal to 58 here when we divide 58 by 1 we get the quotient as 58 and when we divide 58 by 58 we get the quotient as 1 in both the cases the remainder is 0 thus it means that 58 is divisible by 1 and 58 the second pair of numbers which gives the product 58 is 2 into 29 thus the factors of 58 are 1 to 29 and 58 let us solve one more example find the factors of 81 the pairs of numbers which give the product a t1r1 into 81 is equal 
,to 81 3 into 27 is equal to 81 9 into 9 is equal to 81 thus the factors of 81 are 1 3 9 27 and 81 as each of these number divides 81 exactly did you notice we counted the repeated factor only once remember every number has 1 as a factor every number is a factor of itself thus every number except one has at least two factors one 
,and the number itself the factor of a number is always equal to or less than the number now let us look at multiples a multiple of a number is the product obtained when the number is multiplied by the same or any other number let us find the multiples of 12 it is easy when we multiply 12 by zero one two three four five six seven eight nine ten and so on we get 0 12 24 36 48 60 70 to 80 for 96 108 120 and so on as the products so here the products obtained are nothing else but the multiples 
,of 12 let us look at another example find the multiples of 19 when we multiply 19 by 0 1 2 3 4 5 6 7 8 9 10 and so on we get 0 1938 5770 695 114 133 152 171 190 and 
,so on thus the multiples of 19 are 0 1938 5770 695 114 133 152 171 190 and so on remember a number is a multiple of itself every number is a multiple of one every multiple of a given number is equal to or greater than the number itself every number has an infinite number of multiples zero is a multiple of every number but zero is not a factor of any number except zero revising factors and multiples was fun you
,
qc8LHRMs6FQ,today we will learn about factors first let us understand what we mean by the factor of a number let us take the number 12 to begin with let us find out the pairs of numbers that give 12 as their product 1 into 12 is equal to 12 2 into 6 is equal to 12 3 into 4 is equal to 12 so we get 3 pairs of numbers that give us the product 12 no other pair of numbers when multiplied will give the product 12 now let us take each pair of number separately and understand what it means let us take the first pair 1 into 12 is equal to 12 here when we divide 12 by 1 we get the quotient as 12 and when we divide 12 by 12 we get the quotient as 1 in both the cases the remainder is 0 thus it means that 12 is divisible by 1 and 12 pair to 2 into 6 is equal to 12 here when we divide 12 by 2 we get the quotient as 6 and if we divide 12 by 6 we get the quotient as 2 in both the cases the remainder is 0 thus it means that 12 is divisible by 2 and 6 pair 3 3 into 4 is equal to 12 here if we divide 12 by 3 we get the quotient as 4 and if we divide 12 by 4 we get the quotient as 3 here also we get the remainder as 0 in both the divisions thus it means that 12 is divisible by 3 and 4 thus we now understand that 12 is divisible by 1 2 3 4 6 and 12 hence we see that the numbers 1 2 3 4 6 and 12 are the factors of 12 hence we can define factor of a number as a number which exactly divides the given number or we can see that factors are numbers you can multiply together to get given number now 
,let us look at certain points which we need to understand related to a factor with the help of some examples point 1 1 is a factor of every number look at the examples 1 into 6 is equal to 6 8 divided by 1 is equal to 8 thus 1 multiplied by any number gives the number itself as the product and any number divided by 1 also gives 
,the number itself as the quotient hence we conclude that 1 is a factor of every number point to every number is a factor of itself we know that 6 into 1 is equal to 
,6 8 divided by 8 is equal to 1 thus any number multiplied by 1 gives the number itself as the product and any number divided by itself gives 1 as the quotient hence 
,every number is a factor of itself 3 the factor of a number is always less than or equal to the number look at the factors of 12 which we found out earlier they are 
,1 2 3 4 6 and 12 note that the factors 1 2 3 4 & 6 are less than 12 and the last factor 12 is equal to 12 thus it shows that the factor of a number is always less than or equal to the number for every number except one has at least two factors one and the number itself let us look at the factors of 7d are one and seven no other 
,pair of numbers when multiplied together will give the product seven that is the number seven has at least two factors one and seven that is number one and the number seven itself hence we can see that every number except one has at least two factors one and the number itself do remember these points properly they will help you 
,to find the factors as we go further now let us find the factors of one more number let us take the number 30 the pairs of numbers which give the product 30 are 1 into 30 is equal to 30 2 into 15 is equal to 33 into 10 is equal to 30 5 into 6 is equal to 30 thus the factors of 30 are 1 2 3 5 6 10 15 and 30 now look at these factors and remember these points 1 a factor of a number exactly divides that number to one is a factor of every number three every number is a factor of itself for the 
,factor of a number is always less than or equal to the number five every number except one has at least two factors one and the number itself wasn't it easy to learn about factors why don't you try to find the factors of some numbers yourself
,
41eVMYPCWTQ,today let us learn prime and composite numbers before we begin let us understand what do we mean by natural numbers the set of numbers 1 2 3 4 5 6 7 8 and so on are 
,called natural numbers natural numbers can be divided into prime numbers and composite numbers before we proceed ahead remember that any given number will always have one and itself as its factors now let us start with prime numbers look at the examples the factors of 3 are 1 and 3 the factors of 11 are 1 and 11 the factors of 17 are 1 and 17 all these numbers have only two factors one and the number itself such numbers are called prime numbers thus prime numbers are natural numbers that have only two factors one and the number itself composite numbers look at the examples the factors of 6 are 1 2 3 & 6 the factors of 14 are 1 2 7 and 14 the factors of 20 are 1 2 5 10 and 20 all the above numbers have more than two factors these numbers are called composite numbers thus composite numbers are natural numbers that have more than two factors remember these points one is neither prime nor composite as it has only one factor two is the smallest and the only even prime number three is the smallest odd prime number now why don't you list all the prime and composite numbers from 1 to 100
,
j8vWxZBD4eU,hello children today the lesson has multiples and factors multiples and factors see before I start the lesson I'll just tell you a small story see they were fine French Taj Mina Mary knew Jehan and sharmeeli they were five friends now what they did is these five friends wanted to play indoor game so what these y friends decided 
,us they just started writing in a sheet of paper from 1 to 50 from 1 to 50 they started to write writing the number from 1 to 50 in a sheet of paper now after writing from 1 to 50 now what they decided is they took 10 sheets small small sheet and started writing from 1 to 10 they started writing from 1 to 10 and what they have to do was these 5 friends they have to pick one number from that lots now what it thought stood us from that lots this person that is thought he took number 3 from that Lord's so from 1 to 10 they wrote in a small paper and they just put the Lord and in that Lords what did Taj did is he took number 3 so no more did Taj do he just put the stone or he kept the stone on this tree and he started adding the number from tree 1 2 3 now in six number what did he do he kept on stone then again started adding one two three so number nine he kept a stone again 10 11 12 so again on to all he kept a stone 13 14 15 he kept a stone 16 17 18 again one stone 19 20 21 one stone again 22 23 24 again one stone here 25 26 again 27 one stone 28 29 30 31 32 again 33 he kept one stone here 34 35 36 he kept one stone here 37 38 one stone here 40 41 42 one stone here 43 44 one stone here 46 47 48 one stone again you can't count because it was just from 1 to 50 only they desired her to plate so now water Taj Gate he kept the stones in 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 and 48 so this is what ah gee now one more I tell another Mary Mary she got number five she got number five in the launch so this is star and this is Mary now in Mary what she did she kept a stone on number five then she started counting one two three four five one stole here one two three four five again one two three four five one two three four five one stone here one-two-three-four-five one-two-three-four-five one-two-three-four-five one-two-three-four-five one-two-three-four-five so now what did you understand from this so what did they play actually what they did is whatever the number they caught in the last Lord's they have to keep a stone on that particular number and they have to start adding with that number C for example cards took three so without three years to start thing I started adding the number three one two three same way who is it Mary has it Mary took number five so she kept us to own a number five and she started adding five one two three four five so this is all now what do you understand from this so when you add when you add when you add the number repeatedly when you add the number repeatedly when you add the number repeatedly this resulting number is called as a multiple I will repeat once again resulting number is called multiple so this is one day what we call it as multiple this is a lesson we are going to start with today see when you add the number repeated let's see this number I told you thirds got three here appeal started repeatedly add at the number three one two three one two three one two three one two three 
,like that so when you add a number repeatedly this resulting number is called multiples C multiples of 3 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 and 48 so this means this is a multiples of 3 this is a multiple of 3 now again once again I will repeat what does multiple when you
,
qKV_TiZqaMY,today let us learn about multiples at Anya's home with her mother hello kids let us understand what a multiple of a number is with an example consider 3 into 4 is equal to 12 we know that 3 & 4 are the factors of 12 so here 12 is a multiple of 3 and 12 is also a multiple of 4 therefore we define a multiple as a multiple of a number is the product obtained when the given number is multiplied by the same or any other number let us see now how to find multiples of a given number let us find the multiples of 5 from the definition we can multiply the given number five with any number and get its multiple so let us multiply it with a few random numbers to list a few of its multiples 5 x 0 1 2 5 8 12 24 38 46:59 100 and so on gives 0 5 10 25 40 60 120 190 230 295 500 and so on thus we get a series of multiples by multiplying the given number by our the numbers therefore we get the multiples of 5 as 0 5 10 25 40 60 120 190 230 295 500 and so on let us look at one more example it is easy when we multiply 12 by 0 1 2 3 4 5 6 7 8 9 10 and so on we get 0 12 24 36 48 60 70 to 80 for 96 108 120 and so on as the products so here the products obtained are nothing else but the multiples of 12 I am sure you must have understood how to find the multiples of a given number remember the following points while finding the multiples of a number one we get a series of multiples by multiplying the given number by other numbers to the given number and other number are the factors of the product we call a multiple three zero is a multiple of every number but zero is not a factor of any number except zero for the multiples of any number is a set of numbers that does not end kids wasn't it easy to find the multiples so go home and try listing them yourself
,
kCHeKc2R96o,friends the kingdom of animals is fascinating now I am going to tell you about their behavior and living pattern so come on cat this is a cat C for cat many people keep tag as a pet cat tails and eat rats dog this is a dog default dog dog is man's best friend dog who takes our home go this is a cow see for cow cow gives us may friends we should drink milk every day both this is a good G for both we get milk and need from God elephant this is an elephant efore elephant friends elephant is the largest living animal on land he has a long trunk and friends male elephant has two big teeth and elephant likes to eat grass monkey this is a monkey and for monkey monkeys eat fruits and leaves they live on a tree with their family monkeys are very dotty cause this is a horse H for horse horses run very fast and you know friends in olden days horses were the only mode of transport sheep this is a sheep s for sheep friends we get meat and wool from the Sheep pink this is a pink befall pink doggy this is a donkey thief or donkey and you know French donkeys help us by carrying a lot of load on their back rabbit this is a rabbit Alfond rabbit a rabbit eat carrot leaves and grass a rabbit is a very beautiful animal and it runs very fast giraffe this is a giraffe G for giraffe giraffe has a long neck and you know friends giraffe is the tallest animal hippopotamus this is a hippopotamus inch for hippopotamus and you know friends it is also called as hippo hippo spends most of his time inside the water it comes on life to eat grass zebra this is a zebra said for zebra it is a member of horse family and you know friends a zebra has black and white stripes all over his body camon this is a camel c4 camel camel is called as ship of the desert people or their luggage on camel's back and travel in desert dear this is a deer before deer there is a beautiful animal and BR runs very fast Gai good this is a tiger t4 Tiger the tiger is a big animal from the cat family a tiger has beautiful stripes on his body a tiger lives in a jungle so he is called a wild animal a tiger is the national animal of India Cheeta this is a cheetah c4 cheetah a cheetah has yellow spots on his body the cheetah runs very fast it is a wild animal bad this is a bear before bear bear has thick and long hair on his body a bear is a wild animal lion this is a lion and for lion a lion is called as the king of jungle and you know friends a male lion has a beautiful name around his neck lion is a wild animal friends now I will show you some pictures and you should tell me the correct word for it so let's start friends this is right a cat okay which animal is this come on he'll be fast yes but dear and which is this animal okay it's a wild animal lives in jungle dry it's a lion okay friends now who will tell me he protects our home right a dog okay now which is this animal now let me tell you it's a national animal of India come on come all right tiger now this animal this animal gives us milk so tell me right it's a cow it's a wild animal lives in jungle taken long head right it's a bad okay now tell me we get meat and milk from this animal come on come on right it's a goat which is this animal it's a wild animal and trans very fast come on come on right it's a cheetah whoa now which is this animal a very big animal right and opened Oh now which is Prince animal it leaves on tree right it's monkey and now which animal is this come on come on right it's camel which animal is this come on come on tell me fast right it's a horse oh and it will be black and white stripes who will tell me right a Sabra and this is right Ashi okay now this animal lives in water right it's a hippo this is a pink okay which animal is this it is the tallest animal come on who will tell me right pudgy da whoa which animal is this this animal eats carrots come on come on fast right it's rabbit now which animal is this tell me fast right it's a donkey friends you must have seen birds flying around your house right but do you know their names no okay don't worry now I am going to take you the magical world of bird crow crow this is a crow see for crow akroy black in color sparrow Sparrow this is a sparrow s fall sparrow a sparrow is small food grains engine engine this is a pigeon pea for pigeon a PG&E grain color panicked parrot this is a parrot p4 parrot a parent is green in color a pirate eats chilies peacock peacock this is a peacock p4 peacock of peacock looks very beautiful because the national bird of India doc dark this is a duck before the a duck lives in water duck eats fish and frog clean clean this is green see 
,fall crane crane eats fish and frog even even this is an eagle efore eagle an eagle can fly very high in the sky eagle eats snakes and rabbits Oh oh this is an owl all fall ow an owl comes out of his nest only the night it eats rags and other small creatures Kingfisher Kingfisher this is a Kingfisher k4 Kingfisher it is blue and orange in color it eats fish friends now I will show you some pictures on the screen and you should give me an answer which bird is this it's black in color come on tell me fast it's a claw okay now who will tell me this pearl is blue and orange in color right it's a Kingfisher now which word is this tell me fast right a sparrow oh and this bird come on come on I have shown you the picture lied and I which is this bird who may tell me light Oh pigeon woo this bird can fly very high in the 
,sky come on give me the answer right eagle oh this board eats chilies come on come on tell me fast it's a pirate which is this word it lives in water right it's a tap this phone this is national bird of India who will give me an answer come on it's a pickup you know friends even the birds and animals have their own way of talking and communicating with each other oh you don't believe me okay let's wait and watch the taxes the doc says the Sheep says the cow says the monkey says the elephant sees the crew sees the horsies the tiger sees the donkey sees the duck sees and now the lion sees friends it's time to play a game with animals now listen to the sound carefully and tell me the animal animal right which animal come on tell me yes Lauren which animal yes it's a shame which animal right it's cat okay friends which animal is this right it's a donkey friends which animal is this you are right it's a tiger which animal is this okay friends which animal is this right it's a sow 
,okay friends now tell me which animal is this oh very not the animal yes it's a monkey which animal come on tell me yes okay friends which animal is this right it's 
